Time,Day-ahead forecast,Hour-ahead forecast,Demand,
00:00,21917,21461,21293,
00:05,21101,21323,21404,
00:10,21101,21323,21413,
00:15,21101,21323,21347,
00:20,21101,21235,21288,
00:25,21101,21235,21228,
00:30,21101,21235,21148,
00:35,21101,21035,21082,
00:40,21101,21035,21039,
00:45,21101,21035,20980,
00:50,21101,20873,20910,
00:55,21101,20873,20871,
01:00,21101,20873,20819,
01:05,20520,20739,20777,
01:10,20520,20739,20728,
01:15,20520,20739,20683,
01:20,20520,20582,20661,
01:25,20520,20582,20587,
01:30,20520,20582,20528,
01:35,20520,20466,20489,
01:40,20520,20466,20408,
01:45,20520,20466,20403,
01:50,20520,20369,20361,
01:55,20520,20369,20351,
02:00,20520,20369,20337,
02:05,20174,20324,20274,
02:10,20174,20324,20239,
02:15,20174,20324,20237,
02:20,20174,20213,20233,
02:25,20174,20213,20187,
02:30,20174,20213,20151,
02:35,20174,20159,20120,
02:40,20174,20159,20125,
02:45,20174,20159,20087,
02:50,20174,20153,20078,
02:55,20174,20153,20081,
03:00,20174,20153,20074,
03:05,20136,20207,20103,
03:10,20136,20207,20133,
03:15,20136,20207,20129,
03:20,20136,20215,20143,
03:25,20136,20215,20149,
03:30,20136,20215,20134,
03:35,20136,20259,20151,
03:40,20136,20259,20161,
03:45,20136,20259,20193,
03:50,20136,20441,20199,
03:55,20136,20441,20244,
04:00,20136,20441,20261,
04:05,20681,20645,20387,
04:10,20681,20645,20465,
04:15,20681,20645,20558,
04:20,20681,20851,20616,
04:25,20681,20851,20673,
04:30,20681,20851,20735,
04:35,20681,21083,20778,
04:40,20681,21083,20881,
04:45,20681,21083,20941,
04:50,20681,21468,21025,
04:55,20681,21468,21120,
05:00,20681,21468,21187,
05:05,22026,21947,21428,
05:10,22026,21947,21649,
05:15,22026,21947,21726,
05:20,22026,22347,21897,
05:25,22026,22347,21993,
05:30,22026,22347,22084,
05:35,22026,22654,22221,
05:40,22026,22654,22386,
05:45,22026,22654,22453,
05:50,22026,23382,22580,
05:55,22026,23382,22735,
06:00,22026,23382,22915,
06:05,24033,23997,23300,
06:10,24033,23997,23561,
06:15,24033,23997,23749,
06:20,24033,24361,23954,
06:25,24033,24361,24096,
06:30,24033,24361,24255,
06:35,24033,24721,24399,
06:40,24033,24721,24537,
06:45,24033,24721,24614,
06:50,24033,25128,24723,
06:55,24033,25128,24804,
07:00,24033,25128,24865,
07:05,24913,25364,25049,
07:10,24913,25364,25276,
07:15,24913,25364,25338,
07:20,24913,25542,25378,
07:25,24913,25542,25364,
07:30,24913,25542,25386,
07:35,24913,25388,25408,
07:40,24913,25388,25331,
07:45,24913,25388,25269,
07:50,24913,25230,25226,
07:55,24913,25230,25167,
08:00,24913,25230,25043,
08:05,24228,24920,25062,
08:10,24228,24920,25035,
08:15,24228,24920,24968,
08:20,24228,24575,24810,
08:25,24228,24575,24710,
08:30,24228,24575,24590,
08:35,24228,24417,24498,
08:40,24228,24417,24391,
08:45,24228,24417,24272,
08:50,24228,24016,24184,
08:55,24228,24016,24108,
09:00,24228,24016,24040,
09:05,22777,23778,23934,
09:10,22777,23778,23850,
09:15,22777,23778,23716,
09:20,22777,23441,23590,
09:25,22777,23441,23395,
09:30,22777,23441,23243,
09:35,22777,22922,23049,
09:40,22777,22922,22852,
09:45,22777,22922,22677,
09:50,22777,22367,22469,
09:55,22777,22367,22302,
10:00,22777,22367,22090,
10:05,21205,21864,21912,
10:10,21205,21864,21714,
10:15,21205,21864,21545,
10:20,21205,21337,21416,
10:25,21205,21337,21237,
10:30,21205,21337,21056,
10:35,21205,20786,20870,
10:40,21205,20786,20710,
10:45,21205,20786,20606,
10:50,21205,20387,20440,
10:55,21205,20387,20270,
11:00,21205,20387,20086,
11:05,19746,19947,20003,
11:10,19746,19947,20094,
11:15,19746,19947,19793,
11:20,19746,19727,19646,
11:25,19746,19727,19540,
11:30,19746,19727,19346,
11:35,19746,19269,19248,
11:40,19746,19269,19154,
11:45,19746,19269,19093,
11:50,19746,18912,18921,
11:55,19746,18912,18836,
12:00,19746,18912,18756,
12:05,18650,18572,18607,
12:10,18650,18572,18572,
12:15,18650,18572,18484,
12:20,18650,18265,18445,
12:25,18650,18265,18283,
12:30,18650,18265,18249,
12:35,18650,18221,18165,
12:40,18650,18221,18071,
12:45,18650,18221,18002,
12:50,18650,18009,17866,
12:55,18650,18009,17946,
13:00,18650,18009,17929,
13:05,18067,17941,17881,
13:10,18067,17941,17801,
13:15,18067,17941,17718,
13:20,18067,17907,17702,
13:25,18067,17907,17656,
13:30,18067,17907,17588,
13:35,18067,17714,17577,
13:40,18067,17714,17528,
13:45,18067,17714,17542,
13:50,18067,17672,17471,
13:55,18067,17672,17523,
14:00,18067,17672,17442,
14:05,17997,17643,17551,
14:10,17997,17643,17440,
14:15,17997,17643,17485,
14:20,17997,17688,17382,
14:25,17997,17688,17366,
14:30,17997,17688,17446,
14:35,17997,17665,17386,
14:40,17997,17665,17390,
14:45,17997,17665,17447,
14:50,17997,17776,17466,
14:55,17997,17776,17489,
15:00,17997,17776,17438,
15:05,18550,17984,17525,
15:10,18550,17984,17576,
15:15,18550,17984,17557,
15:20,18550,18182,17704,
15:25,18550,18182,17704,
15:30,18550,18182,17817,
15:35,18550,18494,17965,
15:40,18550,18494,18070,
15:45,18550,18494,18160,
15:50,18550,18776,18169,
15:55,18550,18776,18285,
16:00,18550,18776,18393,
16:05,20048,18944,18420,
16:10,20048,18944,18419,
16:15,20048,18944,18520,
16:20,20048,19295,18555,
16:25,20048,19295,18726,
16:30,20048,19295,18906,
16:35,20048,19678,19077,
16:40,20048,19678,19122,
16:45,20048,19678,19315,
16:50,20048,20120,19592,
16:55,20048,20120,19782,
17:00,20048,20120,20080,
17:05,22446,20667,20146,
17:10,22446,20667,20293,
17:15,22446,20667,20496,
17:20,22446,21354,20768,
17:25,22446,21354,20949,
17:30,22446,21354,21180,
17:35,22446,22307,21435,
17:40,22446,22307,21721,
17:45,22446,22307,21978,
17:50,22446,22695,22241,
17:55,22446,22695,22516,
18:00,22446,22695,22812,
18:05,24941,23290,22982,
18:10,24941,23290,23201,
18:15,24941,23290,23471,
18:20,24941,24081,23715,
18:25,24941,24081,24005,
18:30,24941,24081,24181,
18:35,24941,24688,24456,
18:40,24941,24688,24716,
18:45,24941,24688,24966,
18:50,24941,25629,25226,
18:55,24941,25629,25454,
19:00,24941,25629,25629,
19:05,26895,26394,25868,
19:10,26895,26394,26049,
19:15,26895,26394,26218,
19:20,26895,26961,26488,
19:25,26895,26961,26698,
19:30,26895,26961,26890,
19:35,26895,27424,27100,
19:40,26895,27424,27197,
19:45,26895,27424,27306,
19:50,26895,27549,27463,
19:55,26895,27549,27543,
20:00,26895,27549,27524,
20:05,27210,27538,27493,
20:10,27210,27538,27492,
20:15,27210,27538,27495,
20:20,27210,27382,27456,
20:25,27210,27382,27433,
20:30,27210,27382,27394,
20:35,27210,27218,27351,
20:40,27210,27218,27307,
20:45,27210,27218,27272,
20:50,27210,27086,27242,
20:55,27210,27086,27182,
21:00,27210,27086,27140,
21:05,26363,27067,27152,
21:10,26363,27067,27139,
21:15,26363,27067,27082,
21:20,26363,26877,27020,
21:25,26363,26877,26978,
21:30,26363,26877,26876,
21:35,26363,26546,26779,
21:40,26363,26546,26683,
21:45,26363,26546,26574,
21:50,26363,26133,26449,
21:55,26363,26133,26342,
22:00,26363,26133,26215,
22:05,24846,25728,26029,
22:10,24846,25728,25844,
22:15,24846,25728,25737,
22:20,24846,25289,25625,
22:25,24846,25289,25500,
22:30,24846,25289,25348,
22:35,24846,24960,25256,
22:40,24846,24960,25120,
22:45,24846,24960,25014,
22:50,24846,24568,24869,
22:55,24846,24568,24717,
23:00,24846,24568,24572,
23:05,23391,24160,24482,
23:10,23391,24160,24361,
23:15,23391,24160,24229,
23:20,23391,23855,24115,
23:25,23391,23855,24003,
23:30,23391,23855,23872,
23:35,23391,23578,23740,
23:40,23391,23578,23622,
23:45,23391,23578,23557,
23:50,23391,23337,23442,
23:55,23391,23337,23341,
00:00,23391,23337,23199,